ChEMBL_ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,ACD ApKa,ACD BpKa,ACD LogP,ACD LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula
CHEMBL400388,No Data,,Small molecule,0,323.33,4,4,3.2,92.93,5,3,0,5,N,0.67,No Data,5.4,3.07,3.07,3,MOL,-1,24,6,4,0,323.1182,NEUTRAL,C17H14FN5O
CHEMBL218791,No Data,,Small molecule,0,293.33,5,5,2.75,87.58,5,2,0,3,N,0.77,10.12,3.23,3.24,1.25,3,MOL,-1,22,6,2,0,293.1277,NEUTRAL,C16H15N5O
CHEMBL1852697,No Data,,Small molecule,0,493.18,2,2,5.12,88.24,5,3,1,2,N,0.43,5.88,3.89,4.4,2.8,3,MOL,-1,26,5,4,1,490.8939,ACID,C18H11Br2N3O2S
CHEMBL373576,No Data,,Small molecule,0,343.39,1,1,4.31,80.49,5,1,0,4,N,0.6,No Data,3.28,5.14,3.15,4,MOL,-1,26,6,1,0,343.1433,NEUTRAL,C20H17N5O
CHEMBL1963561,No Data,,Small molecule,0,614.68,0,No Data,5.27,93.54,9,2,2,5,N,0.26,No Data,6.9,6.58,6.51,5,MOL,-1,44,9,2,2,614.1912,NEUTRAL,C32H28F2N6O3S
CHEMBL1851806,No Data,,Small molecule,0,373.46,1,1,3.73,86.19,5,3,0,3,N,0.48,11.26,9.96,2.37,-0.1,3,MOL,-1,28,6,3,0,373.1903,BASE,C22H23N5O
CHEMBL360561,No Data,,Small molecule,0,296.33,3,3,4.1,56.52,5,1,0,5,N,0.77,No Data,2.76,3.43,3.43,3,MOL,-1,22,5,1,0,296.1161,NEUTRAL,C17H16N2O3
CHEMBL194117,No Data,,Small molecule,0,328.37,4,5,5.88,47.29,4,1,1,5,N,0.5,No Data,2.81,5.23,5.23,4,MOL,-1,25,4,1,1,328.1212,NEUTRAL,C21H16N2O2
CHEMBL194027,No Data,,Small molecule,0,266.3,3,4,4.09,47.29,4,1,0,4,N,0.77,No Data,2.87,3.33,3.33,3,MOL,-1,20,4,1,0,266.1055,NEUTRAL,C16H14N2O2
CHEMBL494280,No Data,,Small molecule,0,356.39,2,3,0.12,156.92,10,3,0,6,N,0.41,No Data,9.18,0.32,-1.92,3,MOL,-1,26,10,6,1,356.1709,BASE,C16H20N8O2
CHEMBL476571,No Data,,Small molecule,0,423.5,3,4,2.83,119.03,8,2,0,5,N,0.51,10.1,6.15,2.19,2.16,4,MOL,-1,30,9,3,0,423.1477,NEUTRAL,C20H21N7O2S
CHEMBL521658,No Data,,Small molecule,0,425.49,3,4,1.58,137.14,10,3,0,5,N,0.52,13.11,10.25,1.92,-0.74,3,MOL,-1,31,10,4,0,425.2175,BASE,C21H27N7O3
CHEMBL1851668,No Data,,Small molecule,0,472.14,3,4,5.47,62.22,3,2,1,2,N,0.49,5.9,4.34,4.47,2.88,3,MOL,-1,26,4,2,1,469.9266,ACID,C20H12Br2N2O2
CHEMBL377437,No Data,,Small molecule,0,528.63,3,4,5.35,106.35,8,2,2,11,N,0.22,No Data,6.83,5.7,5.59,5,MOL,-1,38,8,2,2,528.1831,NEUTRAL,C29H28N4O4S
CHEMBL213822,No Data,,Small molecule,0,528.63,3,4,5.35,106.35,8,2,2,11,N,0.22,No Data,6.6,5.7,5.63,5,MOL,-1,38,8,2,2,528.1831,NEUTRAL,C29H28N4O4S
CHEMBL250322,No Data,,Small molecule,0,335.37,4,5,3.08,113.16,6,4,0,5,N,0.57,9.97,5.65,2.65,2.64,3,MOL,-1,25,7,5,0,335.1382,NEUTRAL,C18H17N5O2
CHEMBL514838,No Data,,Small molecule,0,423.5,2,2,2.83,119.03,8,2,0,5,N,0.51,10.1,5.94,2.27,2.26,4,MOL,-1,30,9,3,0,423.1477,NEUTRAL,C20H21N7O2S
CHEMBL522857,No Data,,Small molecule,0,411.47,3,4,1.34,137.14,10,3,0,4,N,0.54,13.11,9.46,2.42,0.4,3,MOL,-1,30,10,4,0,411.2019,BASE,C20H25N7O3
CHEMBL192413,No Data,,Small molecule,0,261.28,3,4,3.96,61.85,4,1,0,3,N,0.77,No Data,2.31,3.5,3.5,3,MOL,-1,20,4,1,0,261.0902,NEUTRAL,C16H11N3O
CHEMBL1963560,No Data,,Small molecule,0,411.47,0,No Data,1.34,137.14,10,3,0,5,N,0.53,13.11,9.78,1.69,-0.6,3,MOL,-1,30,10,4,0,411.2019,BASE,C20H25N7O3
CHEMBL244482,No Data,,Small molecule,0,520.46,4,5,7.07,101.58,6,3,2,5,N,0.24,6.82,1.92,5.23,4.6,4,MOL,-1,36,8,3,2,520.0828,NEUTRAL,C23H16F4N4O4S
CHEMBL478442,No Data,,Small molecule,0,311.34,7,12,3.4,76.5,6,2,0,4,N,0.77,9.93,5.56,2.56,2.56,3,MOL,-1,23,6,2,0,311.127,NEUTRAL,C17H17N3O3
CHEMBL475932,No Data,,Small molecule,0,452.54,4,6,3.98,113.1,8,2,0,7,N,0.43,No Data,6.17,2.5,2.48,4,MOL,-1,32,9,2,0,452.1631,NEUTRAL,C22H24N6O3S
CHEMBL1896047,No Data,,Small molecule,0,458.46,3,5,4.98,58.35,6,1,0,7,N,0.31,No Data,9.48,3.35,1.16,4,MOL,-1,33,6,1,0,458.1842,BASE,C23H22F4N6
CHEMBL505970,No Data,,Small molecule,0,613.69,4,4,6.23,106.1,9,2,2,11,N,0.17,No Data,5.66,5.54,5.52,5,MOL,-1,42,8,2,2,613.1429,NEUTRAL,C29H26F3N5O3S2
CHEMBL200320,No Data,,Small molecule,0,376.85,3,4,4.62,87.82,4,3,0,4,N,0.48,8.23,9.29,2.49,0.67,4,MOL,-1,27,5,4,0,376.1091,BASE,C21H17ClN4O
CHEMBL1794063,No Data,,Small molecule,0,643.14,8,9,7.57,106.35,8,2,2,12,N,0.13,No Data,6.46,7.33,7.28,6,MOL,-1,45,8,2,2,642.1504,NEUTRAL,C34H28ClFN4O4S
CHEMBL406125,No Data,,Small molecule,0,336.4,5,8,2.3,86.8,5,2,0,3,N,0.77,5.84,3.14,2.93,0.69,3,MOL,-1,25,7,2,0,336.1699,ACID,C18H20N6O
CHEMBL213342,No Data,,Small molecule,0,528.63,8,9,5.35,106.35,8,2,2,11,N,0.22,No Data,6.34,5.45,5.41,5,MOL,-1,38,8,2,2,528.1831,NEUTRAL,C29H28N4O4S
CHEMBL1952232,No Data,,Small molecule,0,431.39,2,3,4.41,75.34,6,2,0,6,N,0.35,No Data,2.65,2.59,2.59,4,MOL,-1,31,6,2,0,431.1369,NEUTRAL,C21H17F4N5O
CHEMBL39300,No Data,,Small molecule,0,386.41,5,8,2.97,86.8,5,2,0,4,N,0.72,5.26,8.78,3.44,1.01,3,MOL,-1,28,7,2,0,386.1667,ZWITTERION,C19H20F2N6O
CHEMBL387207,No Data,,Small molecule,0,596.63,7,8,6.37,106.35,8,2,2,11,N,0.17,No Data,6.34,6.16,6.12,5,MOL,-1,42,8,2,2,596.1705,NEUTRAL,C30H27F3N4O4S
CHEMBL232405,No Data,,Small molecule,0,305.4,4,4,1.77,65.36,5,1,0,3,N,0.92,12.81,4.84,0.89,0.89,1,MOL,-1,21,5,1,0,305.1198,NEUTRAL,C15H19N3O2S
CHEMBL395358,No Data,,Small molecule,0,327.39,4,5,5.05,58.04,4,2,1,3,N,0.55,9.94,6.35,3.31,3.31,4,MOL,-1,25,4,2,1,327.1372,NEUTRAL,C21H17N3O
CHEMBL1099276,No Data,,Small molecule,0,447.5,8,10,2.28,151.13,10,3,0,6,N,0.38,13.11,6.76,2.12,2.06,4,MOL,-1,33,10,5,0,447.2019,NEUTRAL,C23H25N7O3
CHEMBL15202,No Data,,Small molecule,0,357.41,5,7,4.96,56.27,5,1,0,6,N,0.53,No Data,5.41,4.54,4.54,4,MOL,-1,27,5,1,0,357.1477,NEUTRAL,C22H19N3O2
CHEMBL380247,No Data,,Small molecule,0,563.08,8,10,6,106.35,8,2,2,11,N,0.19,No Data,6.34,6.13,6.09,5,MOL,-1,39,8,2,2,562.1442,NEUTRAL,C29H27ClN4O4S
CHEMBL507821,No Data,,Small molecule,0,579.69,7,8,4.38,106.43,10,2,1,5,N,0.3,No Data,6.9,4.96,4.89,5,MOL,-1,42,10,2,1,579.2053,NEUTRAL,C31H29N7O3S
CHEMBL187494,No Data,,Small molecule,0,628.76,5,6,4.56,139.87,9,3,1,9,N,0.24,13.78,6.76,2,1.85,4,MOL,-1,45,12,3,2,628.258,NEUTRAL,C32H36N8O4S
CHEMBL212954,No Data,,Small molecule,0,577.08,9,11,6.57,80.49,7,1,2,8,N,0.22,No Data,5.43,5.29,5.29,5,MOL,-1,40,7,1,2,576.1398,NEUTRAL,C30H26ClFN4O3S
CHEMBL374680,No Data,,Small molecule,0,354.42,8,8,4.11,80.24,5,1,0,4,N,0.6,3.1,4.79,4.24,2.24,4,MOL,-1,27,6,1,0,354.1593,ACID,C21H18N6
CHEMBL1098943,No Data,,Small molecule,0,385.43,10,11,0.8,137.14,10,3,0,6,N,0.42,13.11,8.7,1.94,0.76,3,MOL,-1,28,10,4,0,385.1862,BASE,C18H23N7O3
CHEMBL244289,No Data,,Small molecule,0,503.41,5,6,6.34,117.37,5,4,2,5,N,0.24,10.67,5.45,4.52,4.51,4,MOL,-1,36,9,4,2,503.1217,NEUTRAL,C23H17F4N5O4
CHEMBL187930,No Data,,Small molecule,0,497.63,3,3,3.22,119.56,8,3,0,10,N,0.39,13.91,8.36,1.49,0.42,3,MOL,-1,35,10,3,0,497.2209,NEUTRAL,C24H31N7O3S
CHEMBL455434,No Data,,Small molecule,0,539.66,7,8,4.58,88.61,8,2,1,5,N,0.36,No Data,6.9,5.86,5.78,4,MOL,-1,39,8,2,1,539.1991,NEUTRAL,C30H29N5O3S
