CHEMBL_ID,TARGETS
CHEMBL1909411,EGFR/ErbB2
CHEMBL175321,TRKA
CHEMBL1909379,EGFR/ErbB2
CHEMBL1096290,AKT1
CHEMBL1909349,AKT1
CHEMBL518953,PLK1
CHEMBL473420,PLK1
CHEMBL471789,PLK1
CHEMBL518968,PLK1
CHEMBL482326,PLK1
CHEMBL477069,IGF-1R
CHEMBL458865,IGF-1R
CHEMBL476259,IGF-1R
CHEMBL450071,IGF-1R
CHEMBL458438,IGF-1R
CHEMBL517171,IGF-1R
CHEMBL505915,IGF-1R
CHEMBL384073,ROCK1
CHEMBL514261,IGF-1R
CHEMBL517123,EGFR/ErbB2
CHEMBL512076,EGFR/ErbB2
CHEMBL1909408,EGFR/ErbB2
CHEMBL473629,PLK1
CHEMBL456252,IGF-1R
CHEMBL463931,IGF-1R
CHEMBL458415,IGF-1R
CHEMBL511765,IGF-1R
CHEMBL467581,IGF-1R
CHEMBL1895450,IGF-1R
CHEMBL521806,PLK1
CHEMBL222419,PLK1
CHEMBL466412,EGFR/ErbB2
CHEMBL1909409,EGFR/ErbB2
CHEMBL220465,ROCK1
CHEMBL1909410,EGFR/ErbB2
CHEMBL1909363,ROCK1
CHEMBL441702,ROCK1
CHEMBL374453,ROCK1
CHEMBL475599,EGFR/ErbB2
CHEMBL480382,PLK1
CHEMBL493326,PLK1
CHEMBL522709,PLK1
CHEMBL485598,ROCK1
CHEMBL373751,IKKe
CHEMBL1794068,PLK1
CHEMBL218720,ROCK1
CHEMBL427058,ROCK1
CHEMBL1794065,AKT1
CHEMBL1794064,AKT1
CHEMBL1794069,PLK1
CHEMBL1794070,PLK1
CHEMBL230597,IKKa/IKKb
CHEMBL231013,IKKa/IKKb
CHEMBL1909375,AKT1
CHEMBL1794066,AKT1
CHEMBL231623,IKKa/IKKb
CHEMBL230911,IKKa/IKKb
CHEMBL230592,IKKa/IKKb
CHEMBL268885,IKKa/IKKb
CHEMBL505187,b-RAF
CHEMBL1096626,AKT1
CHEMBL1096634,AKT1
CHEMBL1909350,AKT1
CHEMBL483748,IKKb
CHEMBL514938,EGFR/ErbB2
CHEMBL1794067,PLK1
CHEMBL483747,IKKb
CHEMBL513897,IGF-1R
CHEMBL1794059,TRKA
CHEMBL271843,CDK2
CHEMBL269827,CDK2
CHEMBL1794058,TRKA
CHEMBL1909397,CDK2
CHEMBL270054,CDK2
CHEMBL1909380,EGFR/ErbB2
CHEMBL1909398,CDK2
CHEMBL30432,EGFR/ErbB2
CHEMBL215993,EGFR/ErbB2
CHEMBL1794057,TRKA
CHEMBL272026,CDK2
CHEMBL1956068,PDGFRb
CHEMBL271595,CDK2
CHEMBL271594,CDK2
CHEMBL272165,CDK2
CHEMBL272028,CDK2
CHEMBL410072,CDK2
CHEMBL1794056,TRKA
CHEMBL531804,EGFR/ErbB2
CHEMBL1880739,c-RAF
CHEMBL409892,CDK2
CHEMBL405042,CDK2
CHEMBL1909399,CDK2
CHEMBL270544,CDK2
CHEMBL1794052,c-RAF
CHEMBL1789963,c-RAF
CHEMBL220243,c-RAF
CHEMBL1794053,c-RAF
CHEMBL1909357,VEGFR2
CHEMBL272414,CDK2
CHEMBL269883,CDK2
CHEMBL220244,c-RAF
CHEMBL1794050,c-RAF
CHEMBL218932,c-RAF
CHEMBL485745,p38a
CHEMBL218088,c-RAF
CHEMBL374060,c-RAF
CHEMBL581096,RET
CHEMBL1516890,TRKA
CHEMBL1909352,c-RAF
CHEMBL176857,TRKA
CHEMBL218859,c-RAF
CHEMBL263796,c-RAF
CHEMBL218969,c-RAF
CHEMBL218970,c-RAF
CHEMBL385426,c-RAF
CHEMBL1909353,c-RAF
CHEMBL1909385,EGFR/ErbB2
CHEMBL1909354,c-RAF
CHEMBL1909355,EGFR/ErbB2
CHEMBL1789961,GSK3b
CHEMBL365286,MSK1
CHEMBL318728,VEGFR2
CHEMBL237347,RET
CHEMBL1885746,p38a
CHEMBL1909386,EGFR/ErbB2
