GSK_REG_NO,MOLREGNO,CHEMBL_ID,INCHI,SMILES,PARENT_CHEMBL_ID,PARENT_INCHI,PARENT_SMILES,TARGETS,TARGET_CHEMBL_IDS,REF_CHEMBL_ID,REFERENCE,PUBMED_ID
GI261520A,1249182,CHEMBL1909411,"InChI=1S/C22H19N3O2.ClH/c1-26-19-11-12-21-20(13-19)22(24-15-23-21)25-17-7-9-18(10-8-17)27-14-16-5-3-2-4-6-16;/h2-13,15H,14H2,1H3,(H,23,24,25);1H",Cl.COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,CHEMBL15202,"InChI=1S/C22H19N3O2/c1-26-19-11-12-21-20(13-19)22(24-15-23-21)25-17-7-9-18(10-8-17)27-14-16-5-3-2-4-6-16/h2-13,15H,14H2,1H3,(H,23,24,25)",COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1146682,"Bioorg. Med. Chem. Lett., 14, p. 111 (2004)",14684309
GR105659X,293753,CHEMBL175321,"InChI=1S/C17H13NO2/c19-11-6-8-12-10(9-11)5-7-13(12)16-14-3-1-2-4-15(14)18-17(16)20/h1-4,6,8-9,19H,5,7H2,(H,18,20)/b16-13-",Oc1ccc2\C(=C\3/C(=O)Nc4ccccc34)\CCc2c1,CHEMBL175321,"InChI=1S/C17H13NO2/c19-11-6-8-12-10(9-11)5-7-13(12)16-14-3-1-2-4-15(14)18-17(16)20/h1-4,6,8-9,19H,5,7H2,(H,18,20)/b16-13-",Oc1ccc2\C(=C\3/C(=O)Nc4ccccc34)\CCc2c1,TRKA,CHEMBL2815,CHEMBL1147447,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
GR269666A,1249150,CHEMBL1909379,"InChI=1S/C22H17N5.ClH/c1-2-6-15(7-3-1)12-21-26-19-11-10-16(13-20(19)27-21)25-22-17-8-4-5-9-18(17)23-14-24-22;/h1-11,13-14H,12H2,(H,26,27)(H,23,24,25);1H",Cl.C(c1ccccc1)c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2,CHEMBL32464,"InChI=1S/C22H17N5/c1-2-6-15(7-3-1)12-21-26-19-11-10-16(13-20(19)27-21)25-22-17-8-4-5-9-18(17)23-14-24-22/h1-11,13-14H,12H2,(H,26,27)(H,23,24,25)",C(c1ccccc1)c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2,EGFR/ErbB2,CHEMBL203/CHEMBL1824,CHEMBL1134080,"Bioorg. Med. Chem. Lett., 11, p. 1401 (2001)",11378364
GSK1000163A,624456,CHEMBL1096290,"InChI=1S/C20H25N7O2/c1-4-27-15-11-13(12-26-9-5-6-10-26)22-14(7-8-20(2,3)28)16(15)23-19(27)17-18(21)25-29-24-17/h11,28H,4-6,9-10,12H2,1-3H3,(H2,21,25)",CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)c4nonc4N,CHEMBL1096290,"InChI=1S/C20H25N7O2/c1-4-27-15-11-13(12-26-9-5-6-10-26)22-14(7-8-20(2,3)28)16(15)23-19(27)17-18(21)25-29-24-17/h11,28H,4-6,9-10,12H2,1-3H3,(H2,21,25)",CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)c4nonc4N,AKT1,CHEMBL4282,CHEMBL1157000,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
GSK1007102B,1249120,CHEMBL1909349,"InChI=1S/C23H25N7O3.C2HF3O2/c1-4-30-16-12-18(32-17(13-24)14-8-6-5-7-9-14)26-15(10-11-23(2,3)31)19(16)27-22(30)20-21(25)29-33-28-20;3-2(4,5)1(6)7/h5-9,12,17,31H,4,13,24H2,1-3H3,(H2,25,29);(H,6,7)/t17-;/m0./s1",CCn1c(nc2c(nc(O[C@@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F,CHEMBL1099276,"InChI=1S/C23H25N7O3/c1-4-30-16-12-18(32-17(13-24)14-8-6-5-7-9-14)26-15(10-11-23(2,3)31)19(16)27-22(30)20-21(25)29-33-28-20/h5-9,12,17,31H,4,13,24H2,1-3H3,(H2,25,29)/t17-/m0/s1",CCn1c(nc2c(nc(O[C@@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N,AKT1,CHEMBL4282,CHEMBL1157000,"Bioorg. Med. Chem. Lett., 19, p. 1508 (2009)",19179070
GSK1023156A,475562,CHEMBL518953,"InChI=1S/C19H14BrN3O2S/c20-13-6-2-1-5-12(13)10-25-16-9-17(26-18(16)19(21)24)23-11-22-14-7-3-4-8-15(14)23/h1-9,11H,10H2,(H2,21,24)",NC(=O)c1sc(cc1OCc2ccccc2Br)n3cnc4ccccc34,CHEMBL518953,"InChI=1S/C19H14BrN3O2S/c20-13-6-2-1-5-12(13)10-25-16-9-17(26-18(16)19(21)24)23-11-22-14-7-3-4-8-15(14)23/h1-9,11H,10H2,(H2,21,24)",NC(=O)c1sc(cc1OCc2ccccc2Br)n3cnc4ccccc34,PLK1,CHEMBL3024,CHEMBL1143265,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
GSK1030058A,475096,CHEMBL473420,"InChI=1S/C23H19F3N2O5S/c1-30-17-8-15-16(9-18(17)31-2)28(12-27-15)20-10-19(21(34-20)22(29)32-3)33-11-13-6-4-5-7-14(13)23(24,25)26/h4-10,12H,11H2,1-3H3",COC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4cc(OC)c(OC)cc34,CHEMBL473420,"InChI=1S/C23H19F3N2O5S/c1-30-17-8-15-16(9-18(17)31-2)28(12-27-15)20-10-19(21(34-20)22(29)32-3)33-11-13-6-4-5-7-14(13)23(24,25)26/h4-10,12H,11H2,1-3H3",COC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4cc(OC)c(OC)cc34,PLK1,CHEMBL3024,CHEMBL1143265,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
GSK1030059A,475169,CHEMBL471789,"InChI=1S/C23H19F3N2O4S/c1-13(29)22-20(32-11-14-6-4-5-7-15(14)23(24,25)26)10-21(33-22)28-12-27-16-8-18(30-2)19(31-3)9-17(16)28/h4-10,12H,11H2,1-3H3",COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)C)c2cc1OC,CHEMBL471789,"InChI=1S/C23H19F3N2O4S/c1-13(29)22-20(32-11-14-6-4-5-7-15(14)23(24,25)26)10-21(33-22)28-12-27-16-8-18(30-2)19(31-3)9-17(16)28/h4-10,12H,11H2,1-3H3",COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)C)c2cc1OC,PLK1,CHEMBL3024,CHEMBL1143265,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
GSK1030061A,475232,CHEMBL518968,"InChI=1S/C23H20F3N3O4S/c1-27-22(30)21-19(33-11-13-6-4-5-7-14(13)23(24,25)26)10-20(34-21)29-12-28-15-8-17(31-2)18(32-3)9-16(15)29/h4-10,12H,11H2,1-3H3,(H,27,30)",CNC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4cc(OC)c(OC)cc34,CHEMBL518968,"InChI=1S/C23H20F3N3O4S/c1-27-22(30)21-19(33-11-13-6-4-5-7-14(13)23(24,25)26)10-20(34-21)29-12-28-15-8-17(31-2)18(32-3)9-16(15)29/h4-10,12H,11H2,1-3H3,(H,27,30)",CNC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4cc(OC)c(OC)cc34,PLK1,CHEMBL3024,CHEMBL1143265,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
GSK1030062A,475233,CHEMBL482326,"InChI=1S/C24H22F3N3O4S/c1-29(2)23(31)22-20(34-12-14-7-5-6-8-15(14)24(25,26)27)11-21(35-22)30-13-28-16-9-18(32-3)19(33-4)10-17(16)30/h5-11,13H,12H2,1-4H3",COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,CHEMBL482326,"InChI=1S/C24H22F3N3O4S/c1-29(2)23(31)22-20(34-12-14-7-5-6-8-15(14)24(25,26)27)11-21(35-22)30-13-28-16-9-18(32-3)19(33-4)10-17(16)30/h5-11,13H,12H2,1-4H3",COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,PLK1,CHEMBL3024,CHEMBL1143265,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
