Gene,Species,Alias
AKT1,Human,"MGC99656, RAC, RAC-ALPHA, PRKBA, Akt, PKB, AKT1, c-Akt, PKBalpha"
AKT2,Human,"PRKBB, AKT2, RAC-BETA, PKBBETA"
AKT3,Human,"STK-2, PRKBG, RAC-GAMMA, AKT3, DKFZP434N0250, PKBG, RAC-gamma, RAC-PK-gamma"
CRIK,Human,"CIT, KIAA0949, STK21, CRIK"
DMPK1,Human,"DMPK1, DM, DMK, DM1, DMPK, DM1PK"
DMPK2,Human,"DMPK2, CDC42BPG, MRCKgamma, HSMDPKIN, KAPPA-200"
MRCKa,Human,"DKFZp686L1738, DKFZp686P1738, PK428, FLJ23347, KIAA0451, CDC42BPA, MRCKA, MRCKa, MRCK"
MRCKb,Human,"MRCKb, MRCKB, KIAA1124, CDC42BPB"
ROCK1,Human,"p160ROCK1, Hs.ROCK1, MGC131603, ROCK1, MGC43611, Hs.198533, P160ROCK"
ROCK2,Human,"KIAA0619, ROCK2, ROCK_II"
BARK1,Human,"BETA-ARK1, GRK2, BARK1, beta_ARK, beta-ARK-1, Ark, ADRBK1"
BARK2,Human,"BARK2, ADRBK2, GRK3"
GPRK4,Human,"IT11, GPRK4, GRK4, GRK4B, GRK4A, HUMGPRKLG, GPRK2L"
GPRK5,Human,"GRK5, GPRK5"
GPRK6,Human,"GRK6, FLJ32135, GPRK6"
GPRK7,Human,"GRK7, GPRK7"
RHOK,Human,"RHOK, Hs.158325, GPRK1, GRK1, RK"
MAST1,Human,"SAST170, MAST1, SAST, KIAA0973"
MAST2,Human,"Hs.101474, MTSSK, MAST205, KIAA0807, MAST2, FLJ39200, RP4-533D7.1"
MAST3,Human,"KIAA0561, Hs.173864, MAST3"
MAST4,Human,"MAST4, LOC375449"
MASTL,Human,"RP11-85G18.2, FLJ14813, THC2, MASTL"
LATS1,Human,"LATS1, wts, WARTS"
LATS2,Human,"LATS2, KPM, FLJ13161"
NDR1,Human,"STK38, NDR, NDR1"
NDR2,Human,"KIAA0965, STK38L, NDR2"
PDK1,Human,"MGC35290, PRO0461, PkB-like, PDK1, PkB-like 1, PDPK1, MGC20087"
PKACa,Human,"Hs.169269, Calpha, cPKA, MGC48865, MGC102831, PKACA, PRKACA, PKACa"
PKACb,Human,"MGC9320, MGC41879, PKA, DKFZp781I2452, PKACB, PRKACB, PKACb"
PKACg,Human,"KAPG, PRKACG, PKACg"
PRKX,Human,"PRKX, PKX1"
PRKY,Human,PRKY
PKCa,Human,"PKC-alpha, PKCA, PRKCA, AAG6, PKCalpha, PKCa, MGC129901, MGC129900, PRKACA"
PKCb,Human,"PKCB, MGC41878, PKC-beta, PRKCB, PKCb, PKCbeta, PRKCB1, PRKCB2"
PKCg,Human,"SCA14, PKC-gamma, PRKCG, PKCC, PKCg, MGC57564, PKCG"
PKCd,Human,"nPKC-delta, PKCd, PKCdelta, MGC49908, PRKCD, MAY1, PKCD"
PKCt,Human,"PKC-theta, PKCt, MGC141919, Hs.89615, MGC126514, Hs.PRKCQ, nPKC-theta, PRKCQ, PRKCT"
PKCe,Human,"Hs.395751, PKCe, PRKCE, PKCepsilon, nPKC-epsilon, PKCE, MGC125657, MGC125656"
PKCh,Human,"PRKCH, nPKC-eta, PRKCL, MGC26269, PKC-L, PKCh, MGC5363, PKCL"
PKCi,Human,"PRKCI, PKCI, MGC26534, nPKC-iota, PKCi, DXS1179E"
PKCz,Human,"PKCz, PKC2, PKCzeta, Hs.199054, PRKCZ"
PKG1,Human,"FLJ36117, PRKGR1B, MGC71944, PKG1, PGK, cGKI, cGKI-BETA, PRKG1, PRKG1B, cGKI-alpha"
PKG2,Human,"PRKGR2, PKG2, cGKII, PRKG2"
PKN1,Human,"DBK, PKN1, PRK1, MGC46204, PRKCL1, PKN, PAK1"
PKN2,Human,"PRO2042, PKN2, MGC71074, PRK2, PRKCL2, Pak-2, MGC150606, PAK2"
PKN3,Human,"PKN3, PKNBETA, pknbeta, RP11-545E17.1"
MSK1,Human,"MSK1, MSPK1, RLPK, MGC1911, RPS6KA5"
MSK2,Human,"RPS6KA4, RSKB, MSK2, RSK-B"
p70S6K,Human,"p70(S6K)-alpha, p70s6k, S6K, STK14A, S6K1, p70S6K, RPS6KB1, PS6K, p70-alpha, p70-S6K"
p70S6Kb,Human,"P70-beta-1, p70S6Kb, P70-beta-2, P70-BETA, STK14B, p70(S6K)-beta, SRK, P70S6KB, RPS6KB2, KLS, S6K2, S6K-beta2"
RSK1,Human,"RSK3 (original kinome, RPS6KA2, S6K-alpha2, RSK, HU-2, S6K-alpha, Hs.RPS6KA2, MAPKAPK1C, Hs.90859, p90-RSK3, pp90RSK3, RSK1, now swapped with RSK1), RSK3"
RSK2,Human,"RPS6KA3, RSK, HU-2, HU-3, ISPK-1, MRX19, p90-RSK2, pp90RSK2, MAPKAPK1B, RSK2, S6K-alpha3, CLS"
RSK3,Human,"RPS6KA1, RSK1 (original kinome, RSK, MAPKAPK1A, HU-1, now swapped with RSK3), p90rsk, S6K-alpha 1, RSK1, RSK3"
RSK4,Human,"RSK4, RPS6KA6"
RSKL1,Human,"humS6PKh1, RPS6KC1, RSKL1, RPK118"
RSKL2,Human,"FLJ35734, MGC11287, RPS6KL1, RSKL2"
SgK494,Human,"SgK494, FLJ25006"
SGK1,Human,"SGK, SGK1"
SGK2,Human,"H-SGK2, dJ138B7.2, SGK2"
SGK3,Human,"DKFZp781N0293, SGKL, SGK3, SGK2, CISK"
YANK1,Human,"STK32A, YANK1, MGC22688"
YANK2,Human,"STK32B, STK32, STKG6, HSA250839, YANK2"
YANK3,Human,"STK32C, RP11-140A10.1, MGC23665, PKE, YANK3"
ADCK3,Human,"LOC56997, MGC4849, CABC1, ADCK3, COQ8"
ADCK4,Human,"FLJ12229, ADCK4, COQ8"
ADCK1,Human,"LOC57143, FLJ39600, ADCK1"
ADCK2,Human,"ADCK2, MGC20727, AARF"
ADCK5,Human,"FLJ35454, ADCK5, MGC126708"
AlphaK1,Human,"ALPK3, KIAA1330, AlphaK1, MIDORI, MAK, FLJ21176"
AlphaK2,Human,"AlphaK2, FLJ43253, HAK, ALPK2, FLJ34875"
AlphaK3,Human,"ALPK1, FLJ22670, 8430410J10Rik, LAK, AlphaK3, KIAA1527"
ChaK1,Human,"FLJ25718, FLJ20117, CHAK, ChaK1, LTRPC7, CHAK1, TRP-PLIK, TRPM7"
ChaK2,Human,"CHAK2, HSH, ChaK2, HMGX, FLJ20087, TRPM6, HOMG"
