Name,Alias
AKT1,"MGC99656, RAC, RAC-ALPHA, PRKBA, Akt, PKB, AKT1, c-Akt, PKBalpha"
AKT2,"PRKBB, AKT2, RAC-BETA, PKBBETA"
AKT3,"STK-2, PRKBG, RAC-GAMMA, AKT3, DKFZP434N0250, PKBG, RAC-gamma, RAC-PK-gamma"
CRIK,"CIT, KIAA0949, STK21, CRIK"
DMPK1,"DMPK1, DM, DMK, DM1, DMPK, DM1PK"
MRCKa,"DKFZp686L1738, DKFZp686P1738, PK428, FLJ23347, KIAA0451, CDC42BPA, MRCKA, MRCKa, MRCK"
MRCKb,"MRCKb, MRCKB, KIAA1124, CDC42BPB"
DMPK2,"DMPK2, CDC42BPG, MRCKgamma, HSMDPKIN, KAPPA-200"
ROCK1,"p160ROCK1, Hs.ROCK1, MGC131603, ROCK1, MGC43611, Hs.198533, P160ROCK"
ROCK2,"KIAA0619, ROCK2, ROCK_II"
BARK1,"BETA-ARK1, GRK2, BARK1, beta_ARK, beta-ARK-1, Ark, ADRBK1"
BARK2,"BARK2, ADRBK2, GRK3"
GPRK4,"IT11, GPRK4, GRK4, GRK4B, GRK4A, HUMGPRKLG, GPRK2L"
GPRK5,"GRK5, GPRK5"
GPRK6,"GRK6, FLJ32135, GPRK6"
RHOK,"RHOK, Hs.158325, GPRK1, GRK1, RK"
GPRK7,"GRK7, GPRK7"
MAST1,"SAST170, MAST1, SAST, KIAA0973"
MAST3,"KIAA0561, Hs.173864, MAST3"
MAST2,"Hs.101474, MTSSK, MAST205, KIAA0807, MAST2, FLJ39200, RP4-533D7.1"
MAST4,"MAST4, LOC375449"
MASTL,"RP11-85G18.2, FLJ14813, THC2, MASTL"
LATS1,"LATS1, wts, WARTS"
NDR1,"STK38, NDR, NDR1"
NDR2,"KIAA0965, STK38L, NDR2"
LATS2,"LATS2, KPM, FLJ13161"
PDK1,"MGC35290, PRO0461, PkB-like, PDK1, PkB-like 1, PDPK1, MGC20087"
PKACa,"Hs.169269, Calpha, cPKA, MGC48865, MGC102831, PKACA, PRKACA, PKACa"
PKACb,"MGC9320, MGC41879, PKA, DKFZp781I2452, PKACB, PRKACB, PKACb"
PKACg,"KAPG, PRKACG, PKACg"
PRKX,"PRKX, PKX1"
PKCa,"PKC-alpha, PKCA, PRKCA, AAG6, PKCalpha, PKCa, MGC129901, MGC129900, PRKACA"
PKCb,"PKCB, MGC41878, PKC-beta, PRKCB, PKCb, PKCbeta, PRKCB1, PRKCB2"
PKCg,"SCA14, PKC-gamma, PRKCG, PKCC, PKCg, MGC57564, PKCG"
PKCd,"nPKC-delta, PKCd, PKCdelta, MGC49908, PRKCD, MAY1, PKCD"
PKCt,"PKC-theta, PKCt, MGC141919, Hs.89615, MGC126514, Hs.PRKCQ, nPKC-theta, PRKCQ, PRKCT"
PKCe,"Hs.395751, PKCe, PRKCE, PKCepsilon, nPKC-epsilon, PKCE, MGC125657, MGC125656"
PKCh,"PRKCH, nPKC-eta, PRKCL, MGC26269, PKC-L, PKCh, MGC5363, PKCL"
PKCi,"PRKCI, PKCI, MGC26534, nPKC-iota, PKCi, DXS1179E"
PKCz,"PKCz, PKC2, PKCzeta, Hs.199054, PRKCZ"
PKG1,"FLJ36117, PRKGR1B, MGC71944, PKG1, PGK, cGKI, cGKI-BETA, PRKG1, PRKG1B, cGKI-alpha"
PKG2,"PRKGR2, PKG2, cGKII, PRKG2"
PKN1,"DBK, PKN1, PRK1, MGC46204, PRKCL1, PKN, PAK1"
PKN2,"PRO2042, PKN2, MGC71074, PRK2, PRKCL2, Pak-2, MGC150606, PAK2"
PKN3,"PKN3, PKNBETA, pknbeta, RP11-545E17.1"
MSK2,"RPS6KA4, RSKB, MSK2, RSK-B"
MSK1,"MSK1, MSPK1, RLPK, MGC1911, RPS6KA5"
p70S6K,"p70(S6K)-alpha, p70s6k, S6K, STK14A, S6K1, p70S6K, RPS6KB1, PS6K, p70-alpha, p70-S6K"
p70S6Kb,"P70-beta-1, p70S6Kb, P70-beta-2, P70-BETA, STK14B, p70(S6K)-beta, SRK, P70S6KB, RPS6KB2, KLS, S6K2, S6K-beta2"
RSK3,"RPS6KA1, RSK1 (original kinome, RSK, MAPKAPK1A, HU-1, now swapped with RSK3), p90rsk, S6K-alpha 1, RSK1, RSK3"
RSK1,"RSK3 (original kinome, RPS6KA2, S6K-alpha2, RSK, HU-2, S6K-alpha, Hs.RPS6KA2, MAPKAPK1C, Hs.90859, p90-RSK3, pp90RSK3, RSK1, now swapped with RSK1), RSK3"
RSK2,"RPS6KA3, RSK, HU-2, HU-3, ISPK-1, MRX19, p90-RSK2, pp90RSK2, MAPKAPK1B, RSK2, S6K-alpha3, CLS"
RSK4,"RSK4, RPS6KA6"
RSKL1,"humS6PKh1, RPS6KC1, RSKL1, RPK118"
RSKL2,"FLJ35734, MGC11287, RPS6KL1, RSKL2"
SGK1,"SGK, SGK1"
SGK2,"H-SGK2, dJ138B7.2, SGK2"
SGK3,"DKFZp781N0293, SGKL, SGK3, SGK2, CISK"
YANK2,"STK32B, STK32, STKG6, HSA250839, YANK2"
YANK1,"STK32A, YANK1, MGC22688"
YANK3,"STK32C, RP11-140A10.1, MGC23665, PKE, YANK3"
ADCK3,"LOC56997, MGC4849, CABC1, ADCK3, COQ8"
ADCK4,"FLJ12229, ADCK4, COQ8"
ADCK1,"LOC57143, FLJ39600, ADCK1"
ADCK5,"FLJ35454, ADCK5, MGC126708"
ADCK2,"ADCK2, MGC20727, AARF"
AlphaK1,"ALPK3, KIAA1330, AlphaK1, MIDORI, MAK, FLJ21176"
AlphaK3,"ALPK1, FLJ22670, 8430410J10Rik, LAK, AlphaK3, KIAA1527"
AlphaK2,"AlphaK2, FLJ43253, HAK, ALPK2, FLJ34875"
ChaK1,"FLJ25718, FLJ20117, CHAK, ChaK1, LTRPC7, CHAK1, TRP-PLIK, TRPM7"
ChaK2,"CHAK2, HSH, ChaK2, HMGX, FLJ20087, TRPM6, HOMG"
eEF2K,"eEF2K, EEF2K, eEF-2K, HSU93850, MGC45041"
BCR,"BCR1, CML, D22S11, PHL, D22S662, ALL, FLJ16453, FGFR1/BCR, BCR/FGFR1, BCR"
BRDT,"BRDT, BRD6"
BRD2,"KIAA9001, NAT, FSRG1, RING3, D6S113E, FLJ31942, DKFZp686N0336, RNF3, BRD2"
BRD3,"RING3L, ORFX, KIAA0043, BRD3"
BRD4,"BRD4, MCAP, CAP, HUNKI"
FASTK,"FASTK, FLJ13079, FAST"
G11,"RP1, STK19, D6S60, MGC117388, D6S60E, HLA-RP1, G11"
H11,H11
BCKDK,BCKDK
PDHK1,"PDK1, PDHK1"
PDHK2,"PDHK2, PDK2"
PDHK3,"PDK3, PDHK3"
PDHK4,"PDHK4, PDK4, FLJ40832"
ATM,"TEL1, ATD, ATE, ATDC, ATC, ATA, DKFZp781A0353, ATM, MGC74674, AT1, TELO1, TRIM29"
ATR,"SCKL1, MEC1, ATR, FRP1, SCKL"
DNAPK,"p350, DNAPK, HYRC1, DNA-PKcs, DNPK1, HYRC, PRKDC, XRCC7"
FRAP,"RAFT1, FLJ44809, FRAP, FRAP1, FRAP2, Hs.FRAP1, MTOR, RAPT1, Hs.155952"
SMG1,"KIAA0421, LIP, 61E3.4, SMG1, ATX"
TRRAP,"PAF400, TR-AP, STAF40, Tra1, TRRAP, FLJ10671, PAF350/400"
RIOK1,"bA288G3.1, RIOK1, MGC12903, AD034, FLJ30006"
RIOK2,"RIOK2, FLJ11159"
RIOK3,"SUDD, RIOK3, DKFZp779L1370"
TAF1,"BA2R, TAF1, TAF2A, OF, NSCL2, P250, TAFII250, CCGS, CCG1"
TAF1L,"MGC134910, TAF2A2, TAF1L"
TIF1a,"RNF82, TRIM24, TIF1a, hTIF1, TF1A, TIF1ALPHA, TIF1A, TIF1, PTC6"
TIF1b,"TRIM28, KAP1, TIF1b, RNF96, FLJ29029, TIF1B, TF1B"
TIF1g,"FLJ32925, TIF1GAMMA, TRIM33, TIF1G, TIF1g, TIFGAMMA, PTC7, RFG7, TF1G"
CaMK4,"CaMK-GR, MGC36771, CaMK4, CAMK4"
CaMK1a,"CaMK1a, CAMKI, MGC120318, MGC120317, CAMK1"
CaMK1d,"CaM-K1, CaMK1d, CKLiK, LOC57118, CaMKID, CAMK1D"
CaMK1g,"CaMK1g, CAMK1G, VWS1, DJ272L16.1, dJ272L16.1, CLICKIII"
CaMK1b,"MGC45419, CaMK1b, PNCK"
CaMK2a,"CAMKA, LOC51618, CaMK2a, CAMK2A, KIAA0968"
CaMK2b,"CAM2, CAMK2, CAMK2B, MGC29528, CaMK2b, CAMKB"
CaMK2d,"CaMK2d, CAMK2D, MGC44911, CAMKD"
CaMK2g,"CAMK-II, FLJ16043, CaMK2g, MGC26678, CAMK2G, CAMK, CAMKG"
AMPKa1,"AMPK, MGC33776, MGC57364, AMPKa1, PRKAA1"
AMPKa2,"AMPK2, AMPK, PRKAA, AMPKa2, PRKAA2"
BRSK2,"PEN11B, C11orf7, BRSK2, SAD1, FLJ41362, STK29"
BRSK1,"KIAA1811, FLJ43009, BRSK1"
CHK1,"CHEK1, CHK1, p56Chk1"
HUNK,HUNK
LKB1,"LKB1, STK11, PJS"
MARK2,"EMK1, MGC99619, PAR-1, MARK2"
MARK1,"MGC126513, MGC126512, KIAA1477, MARK1, MARK"
MARK3,"KP78, PAR1A, CTAK1, MARK3"
MARK4,"MARK4, MARKL1, KIAA1860, Nbla00650, FLJ90097"
MELK,"MELK, HPK38, KIAA0175"
NIM1,"NIM1, MGC42105"
NuaK1,"NuaK1, ARK5, KIAA0537, NUAK1"
NuaK2,"DKFZP434J037, NuaK2, DKFZp686F01113, SNARK, FLJ90349, NUAK2"
PASK,"PASK, PASKIN, DKFZp686P2031, DKFZP434O051, STK37, KIAA0135"
QIK,"SNF1LK2, DKFZp434K1115, QIK, SIK2, LOH11CR1I, KIAA0781, Hs.42676"
QSK,"QSK, KIAA0999, FLJ12240, L19"
SIK,"SIK, SNF1LK, MSK"
SNRK,"SNRK, KIAA0096, HSNFRK, FLJ20224, DKFZp779A1866"
STK33,STK33
VACAMKL,"VACAMKL, MGC8407, 1G5, CAMKV"
CASK,"LIN2, CASK, hCASK"
DAPK1,"DAPK, DKFZp781I035, DAPK1"
DAPK3,"ZIPK, DAPK3, ZIP, FLJ36473"
DAPK2,"MGC119312, Hs.129208, DRP1, DAPK2, DRP-1"
DRAK2,"DRAK2, STK17B"
DRAK1,"DRAK1, STK17A"
DCLK1,"DCAMKL1, DCLK1"
DCLK3,"DCAMKL3, DCLK3"
DCLK2,"DCAMKL2, DCLK2"
MAPKAPK3,"MAPKAP3, 3PK, MAPKAPK3"
MAPKAPK5,"MAPKAPK5, MAPKAP5, PRAK"
MAPKAPK2,"MAPKAPK2, MK2"
MNK2,"MKNK2, GRK7, GPRK7, MNK2"
MNK1,"MKNK1, MNK1"
smMLCK,"FLJ12216, MLCK, KRP, MYLK, DKFZp686I10125, MSTP083, MLCK108, smMLCK, MLCK210, Hs.75950"
TTN,"CMPD4, FLJ26409, HMERF, DKFZp451N061, FLJ43066, FLJ26020, CMH9, LGMD2J, FLJ34413, TMD, TTN, FLJ39564, CMD1G, connectin, FLJ32040"
skMLCK,"MLCK, skMLCK, MYLK2, KMLC"
caMLCK,"MGC126319, MLCK, caMLCK, MLCK2, MGC126320"
SgK085,"SgK085, RP11-145H9.1, LOC340156"
PHKg1,"PHKG, PHKG1, PHKg1"
PHKg2,"PHKg2, PHKG2"
PIM1,"PIM, PIM1"
PIM2,"hPim-2, Hs.80205, PIM2"
PIM3,"pim-3, PIM3"
PKD1,"PRKCM, PKC-MU, PKD1, PKD, PRKD1, PKCM"
PKD3,"PRKCN, PKD3, nPKC-NU, PKC-NU, EPK2, PKCnu, PRKD3"
PKD2,"PKD2, PRKD2, HSPC187"
PSKH1,PSKH1
PSKH2,PSKH2
CHK2,"PP1425, LFS2, CHK2, RAD53, HuCds1, CDS1, CHEK2"
SgK495,"SHIK, MGC4796, RP11-268J15.4, STK40, SgK495"
Trb1,"TRIB1, SKIP1, C8FW, Trb1, GIG2"
Trb2,"Hs.155418, TRB2, GS3955, TRIB2, Trb2"
Trb3,"C20orf97, NIPK, Trb3, SKIP3, SINK, TRIB3, LOC57761, TRB3"
Obscn,"Obscn, OBSCN, UNC89, MGC120410, KIAA1556, MGC120412, MGC138590, MGC120411, FLJ14124, KIAA1639, DKFZp666E245, MGC120409"
Trio,"tgat, Trio, TRIO"
Trad,"Trad, FLJ16443, TRAD, KALRN, duo, Hs.162189, DUET, HAPIP"
TSSK2,"STK22B, FLJ38613, DGS-G, TSSK2, SPOGA2"
TSSK3,"STK22D, TSSK3, STK22C, SPOGA3"
TSSK1,"FKSG81, TSSK1B, STK22D, SPOGA4, TSSK1"
SSTK,"TSSK6, SSTK, TSSK4, FLJ24002"
TSSK4,"TSSK4, MGC133264, C14orf20, TSSK5, STK22E, c14_5117"
CK1a,"CK1a, PRO2975, CSNK1A1, HLCDGP1, CK1, CKI-Alpha"
CK1a2,"CSNK1A1L, CK1a2, MGC33182, RP11-532O21.2"
CK1d,"CSNK1D, CK1-delta, HCKID, CK1d"
CK1e,"MGC10398, CSNK1E, CK1e, HCKIE"
CK1g2,"CSNK1G2, CK1g2"
CK1g3,"CK1g3, CKIG3, CSNK1G3"
CK1g1,"CK1g1, CSNK1G1, CK1gamma1"
TTBK1,"BDTK, TTBK1, RP3-330M21.4, KIAA1855"
TTBK2,"TTBK2, KIAA0847, TTBK"
VRK1,"MGC117401, MGC138280, MGC142070, VRK1"
VRK2,VRK2
VRK3,"LOC51231, VRK3"
CCRK,"CDCH, CCRK, p42"
CDC2,"DKFZp686L20222, CDC28A, MGC111195, CDK1, p34cdc2, CDC2"
CDK2,"p33(CDK2, p33(CDK2), CDK2, p33CDK2, p34CDK2"
CDK3,CDK3
CDK10,"CDK10, PISSLRE"
CDK4,"PSK-J3, CDK4, CMM3, MGC14458"
CDK6,"MGC59692, PLSTIRE, CDK6"
CDK5,"PSSALRE, NCLK, CDK5"
CDK7,"CDKN7, CDK7, CAK1, STK1, TFIIH, p39MO15"
CDK8,"CDK8, K35, MGC126074, MGC126075"
CDK11,CDK11
CDK9,"CDC2L4, CDK9, PITALRE, C-2k, TAK"
CHED,"CDC2L5, CHED, CDC2L, KIAA1791, FLJ35215"
CRK7,"CRKR, CrkRS, CRK7, CRKRS, KIAA0904"
PCTAIRE1,"PCTK1, PCTGAIRE, FLJ16665, PCTAIRE, PCTAIRE1"
PCTAIRE2,"PCTK2, PCTAIRE2"
PCTAIRE3,"PCTK3, PCTAIRE, PCTAIRE3"
PFTAIRE1,"PFTAIRE1, KIAA0834, PFTK1"
PFTAIRE2,"ALS2CR7, PFTAIRE2"
CDKL5,"CDKL5, STK9, ISSX"
CDKL1,"KKIALRE, CDKL1, p42"
CDKL2,"KKIAMRE, P56, CDKL2"
CDKL3,"NKIAMRE, LOC51265, CDKL3"
CDKL4,CDKL4
CK2a1,"CKII, CKII alpha, CK2a1, CK2alpha, CK2A1, CSNK2A1"
CK2a2,"CK2a2, CK2A2, FLJ43934, CK2alpha`, CSNK2A2, CSNK2A1"
CLK1,"CLK/STY, CLK1, STY, CLK"
CLK2,"MGC61500, CLK2, hCLK2, clk2"
CLK3,"CLK3, FLJ22858"
CLK4,"DKFZp686A20267, CLK4"
DYRK1A,"MNBH, DYRK, DYRK1, HP86, DYRK1A, MNB"
DYRK1B,"DYRK1B, MIRK"
DYRK3,"REDK, DYRK3, DYRK5, RED"
DYRK2,DYRK2
DYRK4,DYRK4
HIPK3,"HIPK3, FIST3, YAK1, PKY, DYRK6"
HIPK2,"HIPK2, PRO0593"
HIPK4,"FLJ32818, HIPK4"
HIPK1,"MGC33548, MGC33446, KIAA0630, MGC26642, HIPK1, Nbak2, Myak"
PRP4,"dJ1013A10.1, PRPF4B, PRP4K, PRP4H, PRP4, KIAA0536, PR4H"
GSK3A,"DKFZp686D0638, Hs.118890, GSK3A"
GSK3B,GSK3B
Erk2,"Erk2, P41MAPK, PRKM2, PRKM1, ERK2, MAPK2, p38, MAPK1, ERK, P42MAPK, p41mapk, ERT1, p41, p40"
Erk1,"Erk1, P44MAPK, HUMKER1A, ERK1, PRKM3, P44ERK1, MAPK3, MGC20180, HS44KDAP, p44, ERK-1"
Erk4,"ERK3, Erk4, ERK3-RELATED, PRKM4, MAPK4, p63mapk, p63MAPK"
Erk3,"DKFZp686F03189, Erk3, p97MAPK, HsT17250, PRKM6, ERK3, MAPK6, P97MAPK"
Erk5,"ERK4, Erk5, BMK1, PRKM7, MAPK7, ERK5"
Erk7,"ERK8, MAPK15, ERK7, Erk7"
JNK1,"PRKM8, JNK1, SAPK, JNK21B1_2, JNK21B1/2, JNK1A2, JNK, MAPK8, SAPK1"
JNK2,"JNK2BETA, PRKM9, p54aSAPK, JNK2, JNK2ALPHA, JNK2A, JNK2B, JNK-55, MAPK9"
JNK3,"SAPKbeta, JNK3A, p54bSAPK, JNK3, JNK3A2, FLJ33785, MGC50974, p493F12, P493F12, FLJ12099, MAPK10, P54BSAPK, PRKM10"
NLK,"DKFZp761G1211, NLK, LOC51701, FLJ21033"
p38a,"MAPK14, Exip, SAPK2a, CSBP1, Mxi2, CSBP2, P38, p38a, p38, PRKM14, EXIP, SAPK2A, RK, p38alpha, CSPB1, MXI2, PRKM15, p38ALPHA"
p38b,"p38Beta, P38B, p38-2, P38-2, p38-BETA, P38BETA2, MAPK11, p38b, P38BETA, PRKM11, SAPK2, SAPK2B"
p38d,"PRKM13, p38d, P38DELTA, MGC99536, MAPK13, SAPK4, p38delta"
p38g,"P38GAMMA, ERK3, ERK6, p38g, MAPK12, PRKM12, SAPK-3, p38_gamma, SAPK3"
MAK,"MAK, dJ417M14.2"
MOK,"MOK, RAGE1, RAGE"
ICK,"ICK, KIAA0936, MGC43611, MGC131603, ROCK1, P160ROCK"
SRPK1,"SFRSK1, SRPK1"
SRPK2,"SFRSK2, FLJ36101, SRPK2"
MSSK1,"MGC102944, STK23, SRPK3, MSSK1"
AurA,"MGC34538, BTAK, STK7, STK15, AURORA2, AURA, AIK, AurA, STK6, ARK1, AURKA"
AurC,"AIE2, AIK3, STK13, AurC, aurora-C, AURKC"
AurB,"AURKB, AIRK2(AIM1, AIM-1, AIK2, AIM1, STK12, IPL1, STK5, AurB, ARK2"
BUB1,"BUB1A, BUB1, hBUB1, BUB1L"
BUBR1,"Bub1A, BUB1B, SSK1, hBUBR1, MAD3L, BUBR1, BUB1beta"
PRPK,"BUD32, PRPK, Nori-2, C20orf64, 2, dJ101A2, TP53RK, Nori-2p"
CaMKK2,"CAMKKB, MGC15254, CAMKK2, Hs.197806, CAMKK, CaMKK2, KIAA0787"
CaMKK1,"MGC34095, CaMKK1, DKFZp761M0423, CAMKK1, CAMKKA"
CDC7,"huCDC7, CDC7L1, MGC126238, MGC126237, Hsk1, MGC117361, HsCDC7, CDC7"
Haspin,"GSG2, Haspin"
