Key,ChEMBL_ID_,TARGET_1,TARGET_2,PUBMED_ID
2000,CHEMBL1909411,EGFR,ErbB2,14684309
2001,CHEMBL175321,TRKA,,15013000
2002,CHEMBL1909379,EGFR,ErbB2,11378364
2003,CHEMBL1096290,AKT1,,19179070
2004,CHEMBL1909349,AKT1,,19179070
2005,CHEMBL518953,PLK1,,19097784
2006,CHEMBL473420,PLK1,,19097784
2007,CHEMBL471789,PLK1,,19097784
2008,CHEMBL518968,PLK1,,19097784
2009,CHEMBL482326,PLK1,,19097784
2010,CHEMBL477069,IGF-1R,,19056263
2011,CHEMBL458865,IGF-1R,,19056263
2012,CHEMBL476259,IGF-1R,,19056263
2013,CHEMBL450071,IGF-1R,,19056263
2014,CHEMBL458438,IGF-1R,,19081716
2015,CHEMBL517171,IGF-1R,,19071018
2016,CHEMBL505915,IGF-1R,,19071018
2017,CHEMBL384073,ROCK1,,17201405
2018,CHEMBL514261,IGF-1R,,19081716
2019,CHEMBL517123,EGFR,ErbB2,19111461
2020,CHEMBL512076,EGFR,ErbB2,19111461
2021,CHEMBL1909408,EGFR,ErbB2,19208477
2022,CHEMBL473629,PLK1,,19097784
2023,CHEMBL456252,IGF-1R,,19081716
2024,CHEMBL463931,IGF-1R,,19081716
2025,CHEMBL458415,IGF-1R,,19081716
2026,CHEMBL511765,IGF-1R,,19071018
2027,CHEMBL467581,IGF-1R,,19071018
2028,CHEMBL1895450,IGF-1R,,19081716
2029,CHEMBL521806,PLK1,,19237286
2030,CHEMBL222419,PLK1,,19237286
2031,CHEMBL466412,EGFR,ErbB2,19111461
2032,CHEMBL1909409,EGFR,ErbB2,19208477
2033,CHEMBL220465,ROCK1,,17201404
2034,CHEMBL1909410,EGFR,ErbB2,19208477
2035,CHEMBL1909363,ROCK1,,17201404
2036,CHEMBL441702,ROCK1,,17201405
2037,CHEMBL374453,ROCK1,,17201405
2038,CHEMBL475599,EGFR,ErbB2,19111461
2039,CHEMBL480382,PLK1,,19097784
2040,CHEMBL493326,PLK1,,19237286
2041,CHEMBL522709,PLK1,,19237286
2042,CHEMBL485598,ROCK1,,18842034
2043,CHEMBL373751,IKKe,,16997559
2044,CHEMBL1794068,PLK1,,19237286
2045,CHEMBL218720,ROCK1,,17201405
2046,CHEMBL427058,ROCK1,,17201405
2047,CHEMBL1794065,AKT1,,18800763
2048,CHEMBL1794064,AKT1,,18800763
2049,CHEMBL1794069,PLK1,,19237286
2050,CHEMBL1794070,PLK1,,19237286
2051,CHEMBL230597,IKKa,IKKb,17502144
2052,CHEMBL231013,IKKa,IKKb,17502144
2053,CHEMBL1909375,AKT1,,18800763
2054,CHEMBL1794066,AKT1,,18800763
2055,CHEMBL231623,IKKa,IKKb,17502144
2056,CHEMBL230911,IKKa,IKKb,17502144
2057,CHEMBL230592,IKKa,IKKb,17502144
2058,CHEMBL268885,IKKa,IKKb,17502144
2059,CHEMBL505187,b-RAF,,18662874
2060,CHEMBL1096626,AKT1,,19179070
2061,CHEMBL1096634,AKT1,,19179070
2062,CHEMBL1909350,AKT1,,19179070
2063,CHEMBL483748,IKKb,,19348415
2064,CHEMBL514938,EGFR,ErbB2,19111461
2065,CHEMBL1794067,PLK1,,19237286
2066,CHEMBL483747,IKKb,,19348415
2067,CHEMBL513897,IGF-1R,,19056263
2068,CHEMBL1794059,TRKA,,15013000
2069,CHEMBL271843,CDK2,,11728181
2070,CHEMBL269827,CDK2,,11728181
2071,CHEMBL1794058,TRKA,,15013000
2072,CHEMBL1909397,CDK2,,11728181
2073,CHEMBL270054,CDK2,,11728181
2074,CHEMBL1909380,EGFR,ErbB2,11378364
2075,CHEMBL1909398,CDK2,,11728181
2076,CHEMBL30432,EGFR,ErbB2,11378364
2077,CHEMBL215993,EGFR,ErbB2,16777410
2078,CHEMBL1794057,TRKA,,15013000
2079,CHEMBL272026,CDK2,,11728181
2080,CHEMBL1956068,PDGFRb,,10048786
2081,CHEMBL271595,CDK2,,11728181
2082,CHEMBL271594,CDK2,,11728181
2083,CHEMBL272165,CDK2,,11728181
2084,CHEMBL272028,CDK2,,11728181
2085,CHEMBL410072,CDK2,,11728181
2086,CHEMBL1794056,TRKA,,15013000
2087,CHEMBL531804,EGFR,ErbB2,11378364
2088,CHEMBL1880739,c-RAF,,10698440
